abstained,answer,answer_em,answer_f1,branch,candidate_ids,citation_support_fraction,citation_validity,citation_verification_passed,context_chars,context_ids,context_routes,context_signals,embedding_index_cost_usd_once,embedding_index_input_tokens_once,end_to_end_ms,fallback,generation_error,generation_ms,generator_completion_tokens,generator_cost_usd,generator_model,generator_prompt_tokens,index_ms_once,language,mrr_10_candidates,mrr_10_context,ndcg_10_candidates,ndcg_10_context,online_cost_usd,query,query_id,recall_candidate_k,recall_context_k,references,regeneration_count,rerank_ms,reranker_cost_usd,reranker_details,reranker_error,reranker_input_tokens,reranker_output_tokens,reranker_requested_model,reranker_resolved_model,retrieval_cost_usd,retrieval_input_tokens,retrieval_ms,retry_count,run_kind,source_contains_gold,split,verification_checks,verification_cost_usd,verification_input_tokens,verification_ms,verification_output_tokens,wrong_answer
False,,,,A,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-f5c49da75e44|xquad-tr-660ba94e4a8b|xquad-tr-6434b8c478c4|xquad-tr-1a02c22956bb|xquad-tr-c70ce4ff4d58|xquad-tr-1b252cecccf1|xquad-tr-02b48bacfd77|xquad-tr-2a13deb186bd|xquad-tr-032f09b0043b|xquad-tr-07b450b99a51|xquad-tr-3235577fd416|xquad-tr-34fa99e66bd1|xquad-tr-04c15ed36672|xquad-tr-301b639f3ac9|xquad-tr-13344c31f203|xquad-tr-076a132122cb,,,,4105,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-f5c49da75e44,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",0.0,0,548.0585000041174,False,,0.0,,0.0,,,47.39720899669919,tr,1.0,1.0,1.0,1.0,1.2e-07,Panthers savunması kaç sayı bırakmıştır?,xquad-tr-56beb4343aeaaa14008c925b,1.0,1.0,308,0,0.0,0.0,{},,,,,,1.2e-07,12,548.0585000041174,0,real,True,test,,0.0,0,0.0,0,False
False,,,,D,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-f5c49da75e44|xquad-tr-660ba94e4a8b|xquad-tr-6434b8c478c4|xquad-tr-1a02c22956bb|xquad-tr-c70ce4ff4d58|xquad-tr-1b252cecccf1|xquad-tr-02b48bacfd77|xquad-tr-2a13deb186bd|xquad-tr-032f09b0043b|xquad-tr-07b450b99a51|xquad-tr-3235577fd416|xquad-tr-34fa99e66bd1|xquad-tr-04c15ed36672|xquad-tr-301b639f3ac9|xquad-tr-13344c31f203|xquad-tr-076a132122cb,,,,3923,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-13344c31f203|xquad-tr-032f09b0043b,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1057.3602079966804,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.00037517999999999997,Panthers savunması kaç sayı bırakmıştır?,xquad-tr-56beb4343aeaaa14008c925b,1.0,1.0,308,0,509.301707992563,0.00037506,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.96,""xquad-tr-54ad3394fb35"":0.06,""xquad-tr-391129eff6d9"":0.05,""xquad-tr-13344c31f203"":0.05,""xquad-tr-032f09b0043b"":0.03,""xquad-tr-07b450b99a51"":0.03,""xquad-tr-301b639f3ac9"":0.03,""xquad-tr-076a132122cb"":0.03,""xquad-tr-1a02c22956bb"":0.02,""xquad-tr-c70ce4ff4d58"":0.02,""xquad-tr-1b252cecccf1"":0.02,""xquad-tr-02b48bacfd77"":0.02,""xquad-tr-2a13deb186bd"":0.02,""xquad-tr-3235577fd416"":0.02,""xquad-tr-34fa99e66bd1"":0.02,""xquad-tr-04c15ed36672"":0.02,""xquad-tr-102947b53d99"":0.01,""xquad-tr-f5c49da75e44"":0.01,""xquad-tr-660ba94e4a8b"":0.01,""xquad-tr-6434b8c478c4"":0.01}}",,8930,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.2e-07,12,548.0585000041174,0,real,True,test,,0.0,0,0.0,0,False
False,,,,O,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-f5c49da75e44|xquad-tr-660ba94e4a8b|xquad-tr-6434b8c478c4|xquad-tr-1a02c22956bb|xquad-tr-c70ce4ff4d58|xquad-tr-1b252cecccf1|xquad-tr-02b48bacfd77|xquad-tr-2a13deb186bd|xquad-tr-032f09b0043b|xquad-tr-07b450b99a51|xquad-tr-3235577fd416|xquad-tr-34fa99e66bd1|xquad-tr-04c15ed36672|xquad-tr-301b639f3ac9|xquad-tr-13344c31f203|xquad-tr-076a132122cb,,,,4252,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-391129eff6d9|xquad-tr-2a13deb186bd|xquad-tr-f5c49da75e44,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",0.0,0,1248.4722920053173,False,,0.0,,0.0,,,48.206667008344084,tr,1.0,1.0,1.0,1.0,0.00100012,Panthers savunması kaç sayı bırakmıştır?,xquad-tr-56beb4343aeaaa14008c925b,1.0,1.0,308,0,663.2868330052588,0.001,"{""provider"":""Cohere"",""search_units"":1,""scores"":{""xquad-tr-2b81f10d1c9b"":0.8939131,""xquad-tr-54ad3394fb35"":0.2703052,""xquad-tr-391129eff6d9"":0.09233542,""xquad-tr-2a13deb186bd"":0.02440686,""xquad-tr-f5c49da75e44"":0.023261933,""xquad-tr-3235577fd416"":0.018748544,""xquad-tr-02b48bacfd77"":0.017864192,""xquad-tr-34fa99e66bd1"":0.015343223,""xquad-tr-301b639f3ac9"":0.01478686,""xquad-tr-076a132122cb"":0.014549746,""xquad-tr-660ba94e4a8b"":0.014217492,""xquad-tr-13344c31f203"":0.0116793895,""xquad-tr-1a02c22956bb"":0.011411925,""xquad-tr-102947b53d99"":0.010645332,""xquad-tr-1b252cecccf1"":0.009240278,""xquad-tr-c70ce4ff4d58"":0.00894467,""xquad-tr-032f09b0043b"":0.008618293,""xquad-tr-07b450b99a51"":0.008618293,""xquad-tr-04c15ed36672"":0.008518742,""xquad-tr-6434b8c478c4"":0.007708351}}",,,,cohere/rerank-v3.5,rerank-v3.5,1.2e-07,12,585.1854590000585,0,real,True,test,,0.0,0,0.0,0,False
False,,,,A,xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-ff7d0fa77806|xquad-tr-6b70e4d40c90|xquad-tr-3ef5f57c6f4b|xquad-tr-138af7162b1d|xquad-tr-41d0eeaba356|xquad-tr-0395d7cf3439|xquad-tr-71addbef986e|xquad-tr-54ad3394fb35|xquad-tr-78d4b5c3b411|xquad-tr-1a02c22956bb|xquad-tr-e43356118978|xquad-tr-102947b53d99|xquad-tr-1b0c70acfbe4|xquad-tr-076a132122cb|xquad-tr-301b639f3ac9|xquad-tr-193e3666bbf5|xquad-tr-01a436bd8738,,,,3528,xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-ff7d0fa77806|xquad-tr-6b70e4d40c90,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",0.0,0,718.2162500103004,False,,0.0,,0.0,,,48.46120800357312,tr,1.0,1.0,1.0,1.0,1.6e-07,Jared Allen'ın kaç tane kariyer sack edişi vardır?,xquad-tr-56beb4343aeaaa14008c925c,1.0,1.0,136,0,0.0,0.0,{},,,,,,1.6e-07,16,718.2162500103004,0,real,True,test,,0.0,0,0.0,0,False
False,,,,D,xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-ff7d0fa77806|xquad-tr-6b70e4d40c90|xquad-tr-3ef5f57c6f4b|xquad-tr-138af7162b1d|xquad-tr-41d0eeaba356|xquad-tr-0395d7cf3439|xquad-tr-71addbef986e|xquad-tr-54ad3394fb35|xquad-tr-78d4b5c3b411|xquad-tr-1a02c22956bb|xquad-tr-e43356118978|xquad-tr-102947b53d99|xquad-tr-1b0c70acfbe4|xquad-tr-076a132122cb|xquad-tr-301b639f3ac9|xquad-tr-193e3666bbf5|xquad-tr-01a436bd8738,,,,4377,xquad-tr-2b81f10d1c9b|xquad-tr-6b70e4d40c90|xquad-tr-54ad3394fb35|xquad-tr-1a02c22956bb|xquad-tr-e43356118978,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1279.8471660062205,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.00035699200000000004,Jared Allen'ın kaç tane kariyer sack edişi vardır?,xquad-tr-56beb4343aeaaa14008c925c,1.0,1.0,136,0,561.6309159959201,0.000356832,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.72,""xquad-tr-6b70e4d40c90"":0.03,""xquad-tr-54ad3394fb35"":0.03,""xquad-tr-1a02c22956bb"":0.03,""xquad-tr-e43356118978"":0.03,""xquad-tr-102947b53d99"":0.03,""xquad-tr-076a132122cb"":0.03,""xquad-tr-301b639f3ac9"":0.03,""xquad-tr-94de63f55db8"":0.02,""xquad-tr-391129eff6d9"":0.02,""xquad-tr-3ef5f57c6f4b"":0.02,""xquad-tr-41d0eeaba356"":0.02,""xquad-tr-0395d7cf3439"":0.02,""xquad-tr-71addbef986e"":0.02,""xquad-tr-78d4b5c3b411"":0.02,""xquad-tr-1b0c70acfbe4"":0.02,""xquad-tr-193e3666bbf5"":0.02,""xquad-tr-ff7d0fa77806"":0.01,""xquad-tr-138af7162b1d"":0.01,""xquad-tr-01a436bd8738"":0.01}}",,8496,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.6e-07,16,718.2162500103004,0,real,True,test,,0.0,0,0.0,0,False
False,,,,O,xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-ff7d0fa77806|xquad-tr-6b70e4d40c90|xquad-tr-3ef5f57c6f4b|xquad-tr-138af7162b1d|xquad-tr-41d0eeaba356|xquad-tr-0395d7cf3439|xquad-tr-71addbef986e|xquad-tr-54ad3394fb35|xquad-tr-78d4b5c3b411|xquad-tr-1a02c22956bb|xquad-tr-e43356118978|xquad-tr-102947b53d99|xquad-tr-1b0c70acfbe4|xquad-tr-076a132122cb|xquad-tr-301b639f3ac9|xquad-tr-193e3666bbf5|xquad-tr-01a436bd8738,,,,4124,xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-193e3666bbf5|xquad-tr-54ad3394fb35,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",0.0,0,1068.7860000034561,False,,0.0,,0.0,,,44.80104200774804,tr,1.0,1.0,1.0,1.0,0.00100016,Jared Allen'ın kaç tane kariyer sack edişi vardır?,xquad-tr-56beb4343aeaaa14008c925c,1.0,1.0,136,0,397.4020419991575,0.001,"{""provider"":""Cohere"",""search_units"":1,""scores"":{""xquad-tr-2b81f10d1c9b"":0.7730283,""xquad-tr-391129eff6d9"":0.04478529,""xquad-tr-94de63f55db8"":0.03425846,""xquad-tr-193e3666bbf5"":0.026925152,""xquad-tr-54ad3394fb35"":0.021816617,""xquad-tr-138af7162b1d"":0.019540632,""xquad-tr-6b70e4d40c90"":0.018921794,""xquad-tr-301b639f3ac9"":0.015521277,""xquad-tr-e43356118978"":0.014583387,""xquad-tr-ff7d0fa77806"":0.012432874,""xquad-tr-076a132122cb"":0.012404132,""xquad-tr-1b0c70acfbe4"":0.011625403,""xquad-tr-78d4b5c3b411"":0.011202318,""xquad-tr-41d0eeaba356"":0.010045591,""xquad-tr-102947b53d99"":0.0099527845,""xquad-tr-3ef5f57c6f4b"":0.009656992,""xquad-tr-1a02c22956bb"":0.009523425,""xquad-tr-71addbef986e"":0.008882552,""xquad-tr-01a436bd8738"":0.008075295,""xquad-tr-0395d7cf3439"":0.006564899}}",,,,cohere/rerank-v3.5,rerank-v3.5,1.6e-07,16,671.3839580042986,0,real,True,test,,0.0,0,0.0,0,False
False,,,,A,xquad-tr-2b81f10d1c9b|xquad-tr-02b48bacfd77|xquad-tr-0395d7cf3439|xquad-tr-028bfe64cad5|xquad-tr-076a132122cb|xquad-tr-1205a55bc8be|xquad-tr-00131885f61f|xquad-tr-1005ea8ca58f|xquad-tr-1b9bdfc6fcad|xquad-tr-02d7ab96e83c|xquad-tr-13344c31f203|xquad-tr-391129eff6d9|xquad-tr-138af7162b1d|xquad-tr-01a436bd8738|xquad-tr-41d0eeaba356|xquad-tr-193e3666bbf5|xquad-tr-3ecd8572f796|xquad-tr-032f09b0043b|xquad-tr-54ad3394fb35|xquad-tr-09da7e8547ec,,,,4234,xquad-tr-2b81f10d1c9b|xquad-tr-02b48bacfd77|xquad-tr-0395d7cf3439|xquad-tr-028bfe64cad5|xquad-tr-076a132122cb,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",0.0,0,559.1164169891272,False,,0.0,,0.0,,,48.90558299666736,tr,1.0,1.0,1.0,1.0,1.5e-07,Luke Kuechly kaç tane top çalma kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925d,1.0,1.0,118,0,0.0,0.0,{},,,,,,1.5e-07,15,559.1164169891272,0,real,True,test,,0.0,0,0.0,0,False
False,,,,D,xquad-tr-2b81f10d1c9b|xquad-tr-02b48bacfd77|xquad-tr-0395d7cf3439|xquad-tr-028bfe64cad5|xquad-tr-076a132122cb|xquad-tr-1205a55bc8be|xquad-tr-00131885f61f|xquad-tr-1005ea8ca58f|xquad-tr-1b9bdfc6fcad|xquad-tr-02d7ab96e83c|xquad-tr-13344c31f203|xquad-tr-391129eff6d9|xquad-tr-138af7162b1d|xquad-tr-01a436bd8738|xquad-tr-41d0eeaba356|xquad-tr-193e3666bbf5|xquad-tr-3ecd8572f796|xquad-tr-032f09b0043b|xquad-tr-54ad3394fb35|xquad-tr-09da7e8547ec,,,,3467,xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-391129eff6d9|xquad-tr-032f09b0043b|xquad-tr-193e3666bbf5,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1096.6525419789832,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.000410784,Luke Kuechly kaç tane top çalma kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925d,1.0,1.0,118,0,537.536124989856,0.000410634,"{""strategy"":""batch"",""exists"":null,""scores"":{""xquad-tr-2b81f10d1c9b"":0.84,""xquad-tr-138af7162b1d"":0.06,""xquad-tr-391129eff6d9"":0.05,""xquad-tr-032f09b0043b"":0.05,""xquad-tr-193e3666bbf5"":0.04,""xquad-tr-3ecd8572f796"":0.04,""xquad-tr-54ad3394fb35"":0.04,""xquad-tr-09da7e8547ec"":0.04,""xquad-tr-13344c31f203"":0.03,""xquad-tr-01a436bd8738"":0.03,""xquad-tr-41d0eeaba356"":0.03,""xquad-tr-076a132122cb"":0.02,""xquad-tr-00131885f61f"":0.02,""xquad-tr-1005ea8ca58f"":0.02,""xquad-tr-1b9bdfc6fcad"":0.02,""xquad-tr-02d7ab96e83c"":0.02,""xquad-tr-02b48bacfd77"":0.01,""xquad-tr-0395d7cf3439"":0.01,""xquad-tr-028bfe64cad5"":0.01,""xquad-tr-1205a55bc8be"":0.01}}",,9777,374,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.5e-07,15,559.1164169891272,0,real,True,test,,0.0,0,0.0,0,False
False,,,,O,xquad-tr-2b81f10d1c9b|xquad-tr-02b48bacfd77|xquad-tr-0395d7cf3439|xquad-tr-028bfe64cad5|xquad-tr-076a132122cb|xquad-tr-1205a55bc8be|xquad-tr-00131885f61f|xquad-tr-1005ea8ca58f|xquad-tr-1b9bdfc6fcad|xquad-tr-02d7ab96e83c|xquad-tr-13344c31f203|xquad-tr-391129eff6d9|xquad-tr-138af7162b1d|xquad-tr-01a436bd8738|xquad-tr-41d0eeaba356|xquad-tr-193e3666bbf5|xquad-tr-3ecd8572f796|xquad-tr-032f09b0043b|xquad-tr-54ad3394fb35|xquad-tr-09da7e8547ec,,,,3973,xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-41d0eeaba356|xquad-tr-54ad3394fb35|xquad-tr-138af7162b1d,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",0.0,0,1263.0836659955094,False,,0.0,,0.0,,,48.47808298654854,tr,1.0,1.0,1.0,1.0,0.00100015,Luke Kuechly kaç tane top çalma kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925d,1.0,1.0,118,0,597.926375005045,0.001,"{""provider"":""Cohere"",""search_units"":1,""scores"":{""xquad-tr-2b81f10d1c9b"":0.7906115,""xquad-tr-391129eff6d9"":0.05860943,""xquad-tr-41d0eeaba356"":0.02440686,""xquad-tr-54ad3394fb35"":0.021322012,""xquad-tr-138af7162b1d"":0.019009009,""xquad-tr-02b48bacfd77"":0.018619627,""xquad-tr-01a436bd8738"":0.01741743,""xquad-tr-1b9bdfc6fcad"":0.017099433,""xquad-tr-193e3666bbf5"":0.016903585,""xquad-tr-3ecd8572f796"":0.01667148,""xquad-tr-076a132122cb"":0.015810406,""xquad-tr-13344c31f203"":0.015737634,""xquad-tr-1005ea8ca58f"":0.010233774,""xquad-tr-02d7ab96e83c"":0.010233774,""xquad-tr-032f09b0043b"":0.01002231,""xquad-tr-09da7e8547ec"":0.009724471,""xquad-tr-0395d7cf3439"":0.00902816,""xquad-tr-028bfe64cad5"":0.008882552,""xquad-tr-00131885f61f"":0.008578333,""xquad-tr-1205a55bc8be"":0.008019167}}",,,,cohere/rerank-v3.5,rerank-v3.5,1.5e-07,15,665.1572909904644,0,real,True,test,,0.0,0,0.0,0,False
False,,,,A,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-2096d87118ed|xquad-tr-4a2711d06cb1|xquad-tr-85c908dac685|xquad-tr-b0a07a94d027|xquad-tr-076a132122cb|xquad-tr-02b48bacfd77|xquad-tr-340f1c764a20|xquad-tr-1a02c22956bb|xquad-tr-41d0eeaba356|xquad-tr-391129eff6d9|xquad-tr-102947b53d99|xquad-tr-01a436bd8738|xquad-tr-028bfe64cad5|xquad-tr-13344c31f203|xquad-tr-1205a55bc8be|xquad-tr-3235577fd416|xquad-tr-3ecd8572f796|xquad-tr-1955dfb7dcf8,,,,4243,xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-2096d87118ed|xquad-tr-4a2711d06cb1|xquad-tr-85c908dac685,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",0.0,0,539.3056670000078,False,,0.0,,0.0,,,49.67329200007953,tr,1.0,1.0,1.0,1.0,1e-07,Josh Norman kaç tane top çalmıştır?,xquad-tr-56beb4343aeaaa14008c925e,1.0,1.0,dört,0,0.0,0.0,{},,,,,,1e-07,10,539.3056670000078,0,real,True,test,,0.0,0,0.0,0,False
