abstained,answer,answer_em,answer_f1,branch,candidate_ids,citation_support_fraction,citation_validity,citation_verification_passed,context_chars,context_ids,context_routes,context_signals,embedding_index_cost_usd_once,embedding_index_input_tokens_once,end_to_end_ms,fallback,generation_error,generation_ms,generator_completion_tokens,generator_cost_usd,generator_model,generator_prompt_tokens,index_ms_once,language,mrr_10_candidates,mrr_10_context,ndcg_10_candidates,ndcg_10_context,online_cost_usd,query,query_id,recall_candidate_k,recall_context_k,references,regeneration_count,rerank_ms,reranker_cost_usd,reranker_details,reranker_error,reranker_input_tokens,reranker_output_tokens,reranker_requested_model,reranker_resolved_model,retrieval_cost_usd,retrieval_input_tokens,retrieval_ms,retry_count,run_kind,source_contains_gold,split,verification_checks,verification_cost_usd,verification_input_tokens,verification_ms,verification_output_tokens,wrong_answer
False,,,,S,xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-0829db2785c8|xquad-tr-e43356118978|xquad-tr-3257da1da5c9|xquad-tr-3235577fd416|xquad-tr-9683af0ea7d1|xquad-tr-193e3666bbf5|xquad-tr-65f29f3619dd|xquad-tr-660ba94e4a8b|xquad-tr-02b48bacfd77|xquad-tr-c7f949af8938|xquad-tr-c2d7b0c4ce20|xquad-tr-5d70ee8e7c91|xquad-tr-7af23ea5eb6c|xquad-tr-d300e98e09f7|xquad-tr-d22d36d2718f|xquad-tr-5efd004121af,,,,3631,xquad-tr-2b81f10d1c9b|xquad-tr-7af23ea5eb6c|xquad-tr-c2d7b0c4ce20|xquad-tr-94de63f55db8|xquad-tr-65f29f3619dd,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1088.8770000165096,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.001032604,Bu sezon takımdaki en fazla sack etmeyi kim kaydetmiştir?,xquad-tr-56beb4343aeaaa14008c925f,1.0,1.0,Kawann Short,0,542.2273330041207,0.001032444,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-2b81f10d1c9b"":0.8433333333333334,""xquad-tr-7af23ea5eb6c"":0.13333333333333333,""xquad-tr-c2d7b0c4ce20"":0.06666666666666667,""xquad-tr-94de63f55db8"":0.049999999999999996,""xquad-tr-65f29f3619dd"":0.04666666666666667,""xquad-tr-391129eff6d9"":0.04,""xquad-tr-02b48bacfd77"":0.04,""xquad-tr-5efd004121af"":0.04,""xquad-tr-d300e98e09f7"":0.03333333333333333,""xquad-tr-e43356118978"":0.02666666666666667,""xquad-tr-9683af0ea7d1"":0.02666666666666667,""xquad-tr-c7f949af8938"":0.02666666666666667,""xquad-tr-3235577fd416"":0.023333333333333334,""xquad-tr-193e3666bbf5"":0.023333333333333334,""xquad-tr-5d70ee8e7c91"":0.023333333333333334,""xquad-tr-0829db2785c8"":0.02,""xquad-tr-660ba94e4a8b"":0.02,""xquad-tr-d22d36d2718f"":0.02,""xquad-tr-138af7162b1d"":0.016666666666666666,""xquad-tr-3257da1da5c9"":0.016666666666666666}}",,24582,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.6e-07,16,546.6496670123888,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-2b81f10d1c9b|xquad-tr-138af7162b1d|xquad-tr-94077ca0db25|xquad-tr-193e3666bbf5|xquad-tr-ff7d0fa77806|xquad-tr-f3632c9a76b7|xquad-tr-1205a55bc8be|xquad-tr-e43356118978|xquad-tr-7af23ea5eb6c|xquad-tr-4a841f83d10a|xquad-tr-640a0af166e5|xquad-tr-65f29f3619dd|xquad-tr-54ad3394fb35|xquad-tr-1955dfb7dcf8|xquad-tr-cd8ba035f736|xquad-tr-86491cd136e1|xquad-tr-8116185d96cb|xquad-tr-028bfe64cad5,,,,3805,xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-2b81f10d1c9b|xquad-tr-94de63f55db8|xquad-tr-65f29f3619dd,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1103.5642080096295,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.001078302,Super Bowl XLIX'i kim kazanmıştır?,xquad-tr-56beb7953aeaaa14008c92ad,1.0,1.0,New England Patriots,0,624.3181660101982,0.001078182,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-391129eff6d9"":0.6900000000000001,""xquad-tr-54ad3394fb35"":0.38333333333333336,""xquad-tr-2b81f10d1c9b"":0.20666666666666667,""xquad-tr-94de63f55db8"":0.20333333333333334,""xquad-tr-65f29f3619dd"":0.12666666666666668,""xquad-tr-1955dfb7dcf8"":0.12666666666666668,""xquad-tr-ff7d0fa77806"":0.10666666666666667,""xquad-tr-7af23ea5eb6c"":0.09666666666666668,""xquad-tr-cd8ba035f736"":0.06333333333333334,""xquad-tr-f3632c9a76b7"":0.056666666666666664,""xquad-tr-640a0af166e5"":0.056666666666666664,""xquad-tr-94077ca0db25"":0.049999999999999996,""xquad-tr-028bfe64cad5"":0.04666666666666667,""xquad-tr-e43356118978"":0.03333333333333333,""xquad-tr-193e3666bbf5"":0.02666666666666667,""xquad-tr-138af7162b1d"":0.023333333333333334,""xquad-tr-4a841f83d10a"":0.023333333333333334,""xquad-tr-86491cd136e1"":0.023333333333333334,""xquad-tr-1205a55bc8be"":0.02,""xquad-tr-8116185d96cb"":0.02}}",,25671,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.2e-07,12,479.2460419994313,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-94de63f55db8|xquad-tr-138af7162b1d|xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-54ad3394fb35|xquad-tr-e43356118978|xquad-tr-6b70e4d40c90|xquad-tr-65f29f3619dd|xquad-tr-fc07a484dfcc|xquad-tr-655fdb0366c0|xquad-tr-09da7e8547ec|xquad-tr-193e3666bbf5|xquad-tr-3549ea4088fa|xquad-tr-660ba94e4a8b|xquad-tr-3257da1da5c9|xquad-tr-ba97240ac13e|xquad-tr-02b48bacfd77|xquad-tr-c2757e065d82|xquad-tr-02d7ab96e83c|xquad-tr-4ba7d93f5f1d,,,,3940,xquad-tr-94de63f55db8|xquad-tr-4ba7d93f5f1d|xquad-tr-655fdb0366c0|xquad-tr-65f29f3619dd|xquad-tr-fc07a484dfcc,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1248.535125007038,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.0010983499999999999,Bir Super Bowl'da oynayan en yaşlı kilit oyuncu olma rekorunu daha önce kim elinde bulunduruyordu?,xquad-tr-56beb86b3aeaaa14008c92be,1.0,1.0,John Elway,0,655.0277500064112,0.00109809,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-94de63f55db8"":0.91,""xquad-tr-4ba7d93f5f1d"":0.33,""xquad-tr-655fdb0366c0"":0.32,""xquad-tr-65f29f3619dd"":0.2833333333333333,""xquad-tr-fc07a484dfcc"":0.23,""xquad-tr-e43356118978"":0.20333333333333337,""xquad-tr-660ba94e4a8b"":0.17333333333333334,""xquad-tr-391129eff6d9"":0.13333333333333333,""xquad-tr-54ad3394fb35"":0.12333333333333334,""xquad-tr-ba97240ac13e"":0.10666666666666667,""xquad-tr-3549ea4088fa"":0.09000000000000001,""xquad-tr-6b70e4d40c90"":0.05666666666666667,""xquad-tr-02b48bacfd77"":0.03333333333333333,""xquad-tr-2b81f10d1c9b"":0.03,""xquad-tr-02d7ab96e83c"":0.03,""xquad-tr-193e3666bbf5"":0.02666666666666667,""xquad-tr-3257da1da5c9"":0.02666666666666667,""xquad-tr-138af7162b1d"":0.02,""xquad-tr-c2757e065d82"":0.02,""xquad-tr-09da7e8547ec"":0.016666666666666666}}",,26145,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,2.6e-07,26,593.5073750006268,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-3257da1da5c9|xquad-tr-54ad3394fb35|xquad-tr-4de586fed59c|xquad-tr-655fdb0366c0|xquad-tr-d1dc8f55bc69|xquad-tr-a315f6bc59d0|xquad-tr-1a02c22956bb|xquad-tr-76761ccdae4e|xquad-tr-4dd6fa6daf72|xquad-tr-2b81f10d1c9b|xquad-tr-193e3666bbf5|xquad-tr-6b70e4d40c90|xquad-tr-cd8ba035f736|xquad-tr-13344c31f203|xquad-tr-02b48bacfd77|xquad-tr-138af7162b1d|xquad-tr-00131885f61f|xquad-tr-1955dfb7dcf8,,,,3780,xquad-tr-94de63f55db8|xquad-tr-4de586fed59c|xquad-tr-d1dc8f55bc69|xquad-tr-4dd6fa6daf72|xquad-tr-138af7162b1d,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1069.989583993447,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.00117136,John Elway'in şu anki Broncos üyeliğindeki rolü nedir?,xquad-tr-56beb86b3aeaaa14008c92c0,1.0,1.0,Futbol Operasyonları Başkan Yardımcısı ve Genel Müdür'ü,0,565.8892089995788,0.00117117,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-94de63f55db8"":0.7799999999999999,""xquad-tr-4de586fed59c"":0.2833333333333334,""xquad-tr-d1dc8f55bc69"":0.20666666666666667,""xquad-tr-4dd6fa6daf72"":0.17333333333333334,""xquad-tr-138af7162b1d"":0.07333333333333333,""xquad-tr-391129eff6d9"":0.06666666666666667,""xquad-tr-655fdb0366c0"":0.06333333333333334,""xquad-tr-6b70e4d40c90"":0.05666666666666667,""xquad-tr-3257da1da5c9"":0.056666666666666664,""xquad-tr-00131885f61f"":0.056666666666666664,""xquad-tr-76761ccdae4e"":0.05333333333333334,""xquad-tr-2b81f10d1c9b"":0.05333333333333334,""xquad-tr-54ad3394fb35"":0.049999999999999996,""xquad-tr-13344c31f203"":0.04666666666666667,""xquad-tr-193e3666bbf5"":0.03666666666666667,""xquad-tr-02b48bacfd77"":0.03,""xquad-tr-cd8ba035f736"":0.02666666666666667,""xquad-tr-1955dfb7dcf8"":0.02,""xquad-tr-a315f6bc59d0"":0.016666666666666666,""xquad-tr-1a02c22956bb"":0.016666666666666666}}",,27885,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.9e-07,19,504.1003749938682,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-2b81f10d1c9b|xquad-tr-13344c31f203|xquad-tr-4de586fed59c|xquad-tr-02b48bacfd77|xquad-tr-294593759fcc|xquad-tr-3257da1da5c9|xquad-tr-5d6c794a5589|xquad-tr-54ad3394fb35|xquad-tr-cd8ba035f736|xquad-tr-0395d7cf3439|xquad-tr-640a0af166e5|xquad-tr-655fdb0366c0|xquad-tr-625cca9213ec|xquad-tr-3ef5f57c6f4b|xquad-tr-01a436bd8738|xquad-tr-da0a49ac3dbf|xquad-tr-4a841f83d10a|xquad-tr-b90a454768e8,,,,4280,xquad-tr-94de63f55db8|xquad-tr-02b48bacfd77|xquad-tr-54ad3394fb35|xquad-tr-4de586fed59c|xquad-tr-655fdb0366c0,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1115.8642079972196,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.001162016,John Elway Super Bowl XXXIII'te kimin için oynamıştır?,xquad-tr-56beb86b3aeaaa14008c92c1,1.0,1.0,Broncos,0,586.4254999905825,0.001161846,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-94de63f55db8"":0.7466666666666667,""xquad-tr-02b48bacfd77"":0.3133333333333333,""xquad-tr-54ad3394fb35"":0.2966666666666667,""xquad-tr-4de586fed59c"":0.25666666666666665,""xquad-tr-655fdb0366c0"":0.2333333333333333,""xquad-tr-da0a49ac3dbf"":0.22999999999999998,""xquad-tr-294593759fcc"":0.21,""xquad-tr-cd8ba035f736"":0.16666666666666666,""xquad-tr-391129eff6d9"":0.15,""xquad-tr-2b81f10d1c9b"":0.12666666666666668,""xquad-tr-0395d7cf3439"":0.12333333333333334,""xquad-tr-625cca9213ec"":0.11666666666666668,""xquad-tr-640a0af166e5"":0.08666666666666667,""xquad-tr-b90a454768e8"":0.07666666666666666,""xquad-tr-3ef5f57c6f4b"":0.06999999999999999,""xquad-tr-01a436bd8738"":0.06333333333333334,""xquad-tr-3257da1da5c9"":0.04,""xquad-tr-5d6c794a5589"":0.04,""xquad-tr-13344c31f203"":0.03666666666666667,""xquad-tr-4a841f83d10a"":0.023333333333333334}}",,27663,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.7e-07,17,529.4387080066372,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-94077ca0db25|xquad-tr-00131885f61f|xquad-tr-47af34496cb9|xquad-tr-0da52699e654|xquad-tr-0395d7cf3439|xquad-tr-01a436bd8738|xquad-tr-032f09b0043b|xquad-tr-172516aff4b2|xquad-tr-13344c31f203|xquad-tr-4ce3b039da5b|xquad-tr-33a85f292858|xquad-tr-07b450b99a51|xquad-tr-515e520983bf|xquad-tr-1205a55bc8be|xquad-tr-340f1c764a20|xquad-tr-496fa29a1810|xquad-tr-5550c7743e65|xquad-tr-63a31756327f|xquad-tr-17f8de581e6d|xquad-tr-028bfe64cad5,,,,2315,xquad-tr-94077ca0db25|xquad-tr-33a85f292858|xquad-tr-032f09b0043b|xquad-tr-0395d7cf3439|xquad-tr-5550c7743e65,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1143.4377090045018,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.0012825179999999999,Lady Gaga neyi söylemiştir?,xquad-tr-56bec6ac3aeaaa14008c93fe,1.0,1.0,ulusal marşı,0,554.41491700185,0.001282428,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-94077ca0db25"":0.7399999999999999,""xquad-tr-33a85f292858"":0.09666666666666666,""xquad-tr-032f09b0043b"":0.09333333333333334,""xquad-tr-0395d7cf3439"":0.08,""xquad-tr-5550c7743e65"":0.07333333333333333,""xquad-tr-07b450b99a51"":0.06333333333333334,""xquad-tr-13344c31f203"":0.05666666666666667,""xquad-tr-496fa29a1810"":0.05333333333333334,""xquad-tr-515e520983bf"":0.043333333333333335,""xquad-tr-340f1c764a20"":0.03666666666666667,""xquad-tr-00131885f61f"":0.03333333333333333,""xquad-tr-1205a55bc8be"":0.03333333333333333,""xquad-tr-0da52699e654"":0.03,""xquad-tr-01a436bd8738"":0.03,""xquad-tr-47af34496cb9"":0.02666666666666667,""xquad-tr-172516aff4b2"":0.02666666666666667,""xquad-tr-4ce3b039da5b"":0.02666666666666667,""xquad-tr-63a31756327f"":0.02666666666666667,""xquad-tr-17f8de581e6d"":0.02666666666666667,""xquad-tr-028bfe64cad5"":0.02666666666666667}}",,30534,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,9e-08,9,589.0227920026518,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-94077ca0db25|xquad-tr-193e3666bbf5|xquad-tr-57db7183a0c4|xquad-tr-028bfe64cad5|xquad-tr-13344c31f203|xquad-tr-00131885f61f|xquad-tr-0395d7cf3439|xquad-tr-138af7162b1d|xquad-tr-2b81f10d1c9b|xquad-tr-391129eff6d9|xquad-tr-07b450b99a51|xquad-tr-1955dfb7dcf8|xquad-tr-32ef242629e9|xquad-tr-076a132122cb|xquad-tr-0cec58654d5a|xquad-tr-c53f1075698c|xquad-tr-01a436bd8738|xquad-tr-1b0c70acfbe4|xquad-tr-3257da1da5c9|xquad-tr-0da52699e654,,,,4686,xquad-tr-94077ca0db25|xquad-tr-3257da1da5c9|xquad-tr-076a132122cb|xquad-tr-32ef242629e9|xquad-tr-c53f1075698c,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1189.5319580071373,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.001114968,Marlee Matlin hangi ödülü kazanmıştır?,xquad-tr-56bec6ac3aeaaa14008c93ff,1.0,1.0,Akademi Ödülü,0,636.8997499957914,0.001114848,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-94077ca0db25"":0.5833333333333334,""xquad-tr-3257da1da5c9"":0.32666666666666666,""xquad-tr-076a132122cb"":0.10333333333333333,""xquad-tr-32ef242629e9"":0.05333333333333334,""xquad-tr-c53f1075698c"":0.043333333333333335,""xquad-tr-028bfe64cad5"":0.04,""xquad-tr-1955dfb7dcf8"":0.04,""xquad-tr-13344c31f203"":0.03666666666666667,""xquad-tr-0cec58654d5a"":0.03666666666666667,""xquad-tr-1b0c70acfbe4"":0.03666666666666667,""xquad-tr-57db7183a0c4"":0.03333333333333333,""xquad-tr-0395d7cf3439"":0.03333333333333333,""xquad-tr-2b81f10d1c9b"":0.03333333333333333,""xquad-tr-07b450b99a51"":0.03333333333333333,""xquad-tr-01a436bd8738"":0.03333333333333333,""xquad-tr-193e3666bbf5"":0.02666666666666667,""xquad-tr-0da52699e654"":0.02666666666666667,""xquad-tr-138af7162b1d"":0.023333333333333334,""xquad-tr-391129eff6d9"":0.023333333333333334,""xquad-tr-00131885f61f"":0.016666666666666666}}",,26544,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.2e-07,12,552.6322080113459,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-ff7d0fa77806|xquad-tr-54ad3394fb35|xquad-tr-33a85f292858|xquad-tr-3ec52ccce002|xquad-tr-b64734a6ca82|xquad-tr-7af23ea5eb6c|xquad-tr-32f9b3f9058f|xquad-tr-94077ca0db25|xquad-tr-d3201e523e0b|xquad-tr-32ef242629e9|xquad-tr-676f15c5743e|xquad-tr-85c71e54c978|xquad-tr-ab204f003977|xquad-tr-2b81f10d1c9b|xquad-tr-193e3666bbf5|xquad-tr-d1dc8f55bc69|xquad-tr-f4f06203cea7|xquad-tr-f4bcf5ea40ac,,,,3398,xquad-tr-391129eff6d9|xquad-tr-94de63f55db8|xquad-tr-d1dc8f55bc69|xquad-tr-ab204f003977|xquad-tr-f4bcf5ea40ac,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1318.9171250123763,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.001091068,Broncos ve Steelers arasındaki bölge turu kazananı hangi takımdı?,xquad-tr-56bf36b93aeaaa14008c9561,1.0,1.0,Broncos,0,674.344833008945,0.001090908,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-391129eff6d9"":0.9466666666666667,""xquad-tr-94de63f55db8"":0.32666666666666666,""xquad-tr-d1dc8f55bc69"":0.2833333333333334,""xquad-tr-ab204f003977"":0.2833333333333333,""xquad-tr-f4bcf5ea40ac"":0.26999999999999996,""xquad-tr-54ad3394fb35"":0.16666666666666666,""xquad-tr-94077ca0db25"":0.13333333333333333,""xquad-tr-b64734a6ca82"":0.12333333333333334,""xquad-tr-85c71e54c978"":0.11333333333333334,""xquad-tr-2b81f10d1c9b"":0.08666666666666667,""xquad-tr-7af23ea5eb6c"":0.07,""xquad-tr-3ec52ccce002"":0.06333333333333334,""xquad-tr-193e3666bbf5"":0.04666666666666667,""xquad-tr-f4f06203cea7"":0.043333333333333335,""xquad-tr-ff7d0fa77806"":0.04,""xquad-tr-32ef242629e9"":0.03666666666666667,""xquad-tr-d3201e523e0b"":0.02666666666666667,""xquad-tr-32f9b3f9058f"":0.023333333333333334,""xquad-tr-676f15c5743e"":0.023333333333333334,""xquad-tr-33a85f292858"":0.016666666666666666}}",,25974,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,1.6e-07,16,644.5722920034314,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-94077ca0db25|xquad-tr-47af34496cb9|xquad-tr-0395d7cf3439|xquad-tr-138af7162b1d|xquad-tr-e43356118978|xquad-tr-717a8e567f6e|xquad-tr-f3e8bd7eda23|xquad-tr-13344c31f203|xquad-tr-028bfe64cad5|xquad-tr-2096d87118ed|xquad-tr-655fdb0366c0|xquad-tr-172516aff4b2|xquad-tr-c84dc45a4483|xquad-tr-56eda5522458|xquad-tr-032f09b0043b|xquad-tr-496fa29a1810|xquad-tr-00131885f61f|xquad-tr-294593759fcc|xquad-tr-4de586fed59c|xquad-tr-34fa99e66bd1,,,,4338,xquad-tr-94077ca0db25|xquad-tr-13344c31f203|xquad-tr-496fa29a1810|xquad-tr-172516aff4b2|xquad-tr-655fdb0366c0,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1051.3904580002418,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.0012690359999999999,Ulusal marşı kim söylemiştir?,xquad-tr-56d20650e7d4791d00902614,1.0,1.0,Lady Gaga,0,623.0025830009254,0.001268946,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-94077ca0db25"":0.4166666666666667,""xquad-tr-13344c31f203"":0.19333333333333336,""xquad-tr-496fa29a1810"":0.15666666666666665,""xquad-tr-172516aff4b2"":0.11,""xquad-tr-655fdb0366c0"":0.10333333333333333,""xquad-tr-e43356118978"":0.09000000000000001,""xquad-tr-c84dc45a4483"":0.07333333333333333,""xquad-tr-56eda5522458"":0.07333333333333333,""xquad-tr-717a8e567f6e"":0.07,""xquad-tr-4de586fed59c"":0.06,""xquad-tr-f3e8bd7eda23"":0.05666666666666667,""xquad-tr-0395d7cf3439"":0.05333333333333334,""xquad-tr-138af7162b1d"":0.05333333333333334,""xquad-tr-294593759fcc"":0.049999999999999996,""xquad-tr-028bfe64cad5"":0.04666666666666667,""xquad-tr-032f09b0043b"":0.04666666666666667,""xquad-tr-2096d87118ed"":0.03333333333333333,""xquad-tr-47af34496cb9"":0.03,""xquad-tr-00131885f61f"":0.03,""xquad-tr-34fa99e66bd1"":0.03}}",,30213,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,9e-08,9,428.3878749993164,0,real,True,test,,0.0,0,0.0,0,False
False,,,,S,xquad-tr-94de63f55db8|xquad-tr-391129eff6d9|xquad-tr-2b81f10d1c9b|xquad-tr-54ad3394fb35|xquad-tr-138af7162b1d|xquad-tr-6b70e4d40c90|xquad-tr-fc07a484dfcc|xquad-tr-09da7e8547ec|xquad-tr-193e3666bbf5|xquad-tr-655fdb0366c0|xquad-tr-c9aace6a287e|xquad-tr-c0272f2104fa|xquad-tr-02d7ab96e83c|xquad-tr-3549ea4088fa|xquad-tr-85dd07128939|xquad-tr-e43356118978|xquad-tr-1a02c22956bb|xquad-tr-3235577fd416|xquad-tr-ba97240ac13e|xquad-tr-d22d36d2718f,,,,2766,xquad-tr-94de63f55db8|xquad-tr-6b70e4d40c90|xquad-tr-138af7162b1d|xquad-tr-d22d36d2718f|xquad-tr-09da7e8547ec,evidence|evidence|evidence|evidence|evidence,"[{},{},{},{},{}]",,,1037.318791000871,False,,0.0,,0.0,,,,tr,1.0,1.0,1.0,1.0,0.001100074,Manning'den önce bir Super Bowl'da oynayan en yaşlı kilit oyuncu kimdir?,xquad-tr-56d704430d65d214001982e1,1.0,1.0,John Elway,0,575.8892080048099,0.001099854,"{""strategy"":""permutation_ensemble"",""permutations"":3,""scores"":{""xquad-tr-94de63f55db8"":0.9066666666666667,""xquad-tr-6b70e4d40c90"":0.5133333333333333,""xquad-tr-138af7162b1d"":0.24666666666666667,""xquad-tr-d22d36d2718f"":0.24,""xquad-tr-09da7e8547ec"":0.17333333333333334,""xquad-tr-54ad3394fb35"":0.17,""xquad-tr-3235577fd416"":0.09000000000000001,""xquad-tr-193e3666bbf5"":0.07333333333333333,""xquad-tr-fc07a484dfcc"":0.049999999999999996,""xquad-tr-391129eff6d9"":0.04666666666666667,""xquad-tr-655fdb0366c0"":0.043333333333333335,""xquad-tr-3549ea4088fa"":0.04,""xquad-tr-1a02c22956bb"":0.04,""xquad-tr-c9aace6a287e"":0.03666666666666667,""xquad-tr-2b81f10d1c9b"":0.03,""xquad-tr-02d7ab96e83c"":0.03,""xquad-tr-e43356118978"":0.02666666666666667,""xquad-tr-c0272f2104fa"":0.023333333333333334,""xquad-tr-85dd07128939"":0.023333333333333334,""xquad-tr-ba97240ac13e"":0.02}}",,26187,1122,typesafe/jev-1.13,typesafe/jev-1.13-20260917,2.2e-07,22,461.4295829960611,0,real,True,test,,0.0,0,0.0,0,False
